movie_id,title,cast,genres,tags
tt15354916,Jawan,"Shah Rukh Khan, Nayanthara, Vijay Sethupathi, Deepika Padukone","['action', 'thriller']","['A', 'high-octane', 'action', 'thriller', 'which', 'outlines', 'the', 'emotional', 'journey', 'of', 'a', 'man', 'who', 'is', 'set', 'to', 'rectify', 'the', 'wrongs', 'in', 'the', 'society.', 'action', 'thriller', 'action', 'thriller', 'shahrukhkhan', 'nayanthara', 'vijaysethupathi', 'deepikapadukone', 'atlee']"
tt15748830,Jaane Jaan,"Kareena Kapoor, Jaideep Ahlawat, Vijay Varma, Saurabh Sachdeva","['crime', 'drama', 'mystery']","['A', 'single', 'mother', 'and', 'her', 'daughter', 'who', 'commit', 'a', 'crime', 'and', 'a', 'neighbor', 'who', 'helps', 'them', 'cover', 'it', 'up', 'amidst', 'a', 'police', 'investigation.', 'crime', 'drama', 'mystery', 'crime', 'drama', 'mystery', 'kareenakapoor', 'jaideepahlawat', 'vijayvarma', 'saurabhsachdeva', 'sujoyghosh']"
tt11663228,Jailer,"Rajinikanth, Mohanlal, Shivarajkumar, Jackie Shroff","['action', 'comedy', 'crime']","['A', 'retired', 'jailer', 'goes', 'on', 'a', 'manhunt', 'to', 'find', 'his', ""son's"", 'killers.', 'But', 'the', 'road', 'leads', 'him', 'to', 'a', 'familiar,', 'albeit', 'a', 'bit', 'darker', 'place.', 'Can', 'he', 'emerge', 'from', 'this', 'complex', 'situation', 'successfully?', 'action', 'comedy', 'crime', 'action', 'comedy', 'crime', 'rajinikanth', 'mohanlal', 'shivarajkumar', 'jackieshroff', 'nelsondilipkumar']"
tt14993250,Rocky Aur Rani Kii Prem Kahaani,"Ranveer Singh, Alia Bhatt, Dharmendra, Shabana Azmi","['comedy', 'drama', 'family']","['Flamboyant', 'Punjabi', 'Rocky', 'and', 'intellectual', 'Bengali', 'journalist', 'Rani', 'fall', 'in', 'love', 'despite', 'their', 'differences.', 'After', 'facing', 'family', 'opposition,', 'they', 'decide', 'to', 'live', 'with', 'each', ""other's"", 'families', 'for', 'three', 'months', 'before', 'getting', 'married.', 'comedy', 'drama', 'family', 'comedy', 'drama', 'family', 'ranveersingh', 'aliabhatt', 'dharmendra', 'shabanaazmi', 'karanjohar']"
tt15732324,OMG 2,"Pankaj Tripathi, Akshay Kumar, Yami Gautam, Pawan Malhotra","['comedy', 'drama']","['An', 'unhappy', 'civilian', 'asks', 'the', 'court', 'to', 'mandate', 'comprehensive', 'education', 'in', 'schools', 'in', 'a', 'dramatic', 'yet', 'amusing', 'courtroom', 'play.', 'comedy', 'drama', 'comedy', 'drama', 'pankajtripathi', 'akshaykumar', 'yamigautam', 'pawanmalhotra', 'amitrai']"
tt18266472,Sukhee,"Shilpa Shetty Kundra, Amit Sadh, Chaitannya Choudhry, Kusha Kapila",['drama'],"['Much', 'to', 'the', 'dismay', 'of', 'her', 'husband,', 'a', 'middle-class', 'housewife,', 'known', 'for', 'her', 'rebellious', 'attitude', 'in', 'high', 'school,', 'decides', 'to', 'attend', 'her', 'class', 'reunion.', 'drama', 'drama', 'shilpashettykundra', 'amitsadh', 'chaitannyachoudhry', 'kushakapila', 'sonaljoshi']"
tt18561736,The Great Indian Family,"Alka Amin, Bhuvan Arora, Manushi Chhillar, Srishti Dixit",['family'],"['Ved', 'Vyas', 'Tripathi,', 'aka', 'Bhajan', 'Kumar,', 'is', 'a', 'devout', 'Hindu', 'man', 'who', 'faces', 'an', 'identity', 'crisis', 'and', 'a', 'personal', 'dilemma', 'when', 'he', 'discovers', 'he', 'is', 'actually', 'a', 'Muslim', 'by', 'birth.', 'family', 'family', 'alkaamin', 'bhuvanarora', 'manushichhillar', 'srishtidixit', 'vijaykrishnaacharya']"
tt3691740,The BFG,"Mark Rylance, Ruby Barnhill, Penelope Wilton, Jemaine Clement","['adventure', 'family', 'fantasy']","['An', 'orphan', 'little', 'girl', 'befriends', 'a', 'benevolent', 'giant', 'who', 'takes', 'her', 'to', 'Giant', 'Country,', 'where', 'they', 'attempt', 'to', 'stop', 'the', 'man-eating', 'giants', 'that', 'are', 'invading', 'the', 'human', 'world.', 'adventure', 'family', 'fantasy', 'adventure', 'family', 'fantasy', 'markrylance', 'rubybarnhill', 'penelopewilton', 'jemaineclement', 'stevenspielberg']"
tt12844910,Pathaan,"Shah Rukh Khan, Deepika Padukone, John Abraham, Dimple Kapadia","['action', 'adventure', 'thriller']","['An', 'Indian', 'agent', 'races', 'against', 'a', 'doomsday', 'clock', 'as', 'a', 'ruthless', 'mercenary,', 'with', 'a', 'bitter', 'vendetta,', 'mounts', 'an', 'apocalyptic', 'attack', 'against', 'the', 'country.', 'action', 'adventure', 'thriller', 'action', 'adventure', 'thriller', 'shahrukhkhan', 'deepikapadukone', 'johnabraham', 'dimplekapadia', 'siddharthanand']"
tt15464390,Mastaney,"Tarsem Jassar, Simi Chahal, Gurpreet Ghuggi, Karamjit Anmol","['action', 'drama', 'history']","['Set', 'in', '1739,', 'Nadar', ""Shah's"", 'undefeated', 'army', 'was', 'attacked', 'by', 'Sikh', 'Rebellions.', 'Nadar', 'demands', 'to', 'arrest', 'them', 'but', 'it', ""doesn't"", 'work', 'out.', 'Five', 'ordinary', 'men', 'are', 'hired', 'to', 'play', 'Sikh', 'Rebellions', 'but', 'over', 'time', 'they', 'learn', 'what', 'Sikhs', 'are.', 'action', 'drama', 'history', 'action', 'drama', 'history', 'tarsemjassar', 'simichahal', 'gurpreetghuggi', 'karamjitanmol', 'sharanart']"
